engine_size,horse_power,years_old,lower_market_price,higher_market_price,actual_price,no_faults,original_parts,unpainted,first_owner,need_repainting,need_body_repair,engine_issue,gear_issue,need_repair,first_registration,wiring_problems,after_crash,automatic,cvt,manual,electric,hybrid,petrol,foreign_used,nigerian_used
2700.0,159.0,9.0,13480000.0,14500000.0,8800000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
4600.0,305.0,13.0,17500000.0,18500000.0,19500000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3700.0,300.0,12.0,6500000.0,7100000.0,7500000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1800.0,150.0,11.0,4800000.0,5240000.0,4800000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3500.0,270.0,10.0,13500000.0,13900000.0,13500000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2700.0,161.0,15.0,8520000.0,8740000.0,8750000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,18.0,5500000.0,5600000.0,6100000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3500.0,274.0,11.0,11000000.0,11700000.0,11500000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
1800.0,124.0,19.0,3220000.0,3340000.0,3350000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3300.0,233.0,18.0,6390000.0,6500000.0,6000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2000.0,246.0,7.0,12212439.0,13153665.0,26000000.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
3287.0,246.0,10.0,9960000.0,11000000.0,10500000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
5500.0,536.0,9.0,12212439.0,13153665.0,45000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3287.0,246.0,16.0,4000000.0,4200000.0,4300000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,18.0,3500000.0,3650000.0,3600000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,8.0,29200000.0,34710000.0,22000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,12.0,8000000.0,8270000.0,7650000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2500.0,246.0,8.0,12000000.0,12500000.0,11000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,7.0,12212439.0,13153665.0,12999999.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3287.0,246.0,18.0,2800000.0,3000000.0,1650000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3500.0,295.0,6.0,17500000.0,19250000.0,17000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3000.0,203.0,24.0,899000.0,1000000.0,1000000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
2700.0,190.0,11.0,9500000.0,9740000.0,9650000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,10.0,13500000.0,13800000.0,16000000.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
5400.0,304.0,17.0,5240000.0,5970000.0,6100000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,17.0,3460000.0,3540000.0,3550000.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3287.0,246.0,12.0,6800000.0,7000000.0,9000000.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
2500.0,178.0,8.0,6140000.0,6710000.0,7550000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3500.0,266.0,10.0,10000000.0,11350000.0,9200000.0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3287.0,246.0,8.0,15500000.0,15820000.0,14800000.0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3500.0,268.0,16.0,2280000.0,2450000.0,3150000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3287.0,246.0,11.0,11500000.0,11980000.0,10800000.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
3000.0,228.0,13.0,3830000.0,4200000.0,3750000.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3287.0,246.0,15.0,12212439.0,13153665.0,3000000.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
3500.0,270.0,10.0,13500000.0,13900000.0,12500000.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
